"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"63","13163","Morgan St & 18th St",41.8580895,-87.6511693333333,107,96,47,39,51,47,203,98,86
"64","13164","Racine Ave & 18th St",41.858166,-87.656495,211,200,43,42,150,140,411,290,85
"65","13165","Racine Ave & 13th St",41.865054,-87.656959,33,41,8,9,22,25,74,47,17
"66","13179","Clark St & Lincoln Ave",41.9157086666667,-87.6346041666667,491,445,155,135,279,255,936,534,290
"67","13191","Sedgwick St & Webster Ave",41.922173,-87.6390031666667,372,358,122,112,206,204,730,410,234
"68","13192","Halsted St & Dickens Ave",41.919936,-87.64883,317,364,101,99,182,233,681,415,200
"69","13193","Larrabee St & Webster Ave",41.921822,-87.64414,536,540,141,133,352,346,1076,698,274
"70","13194","Ogden Ave & Race Ave",41.8918528333333,-87.6588781666667,319,298,152,144,141,138,617,279,296
"71","13196","Carpenter St & Huron St",41.894556,-87.653449,230,227,118,114,95,94,457,189,232
"72","13197","Elizabeth (May) St & Fulton St",41.8866164860277,-87.6580399274826,92,124,33,35,49,68,216,117,68
"73","13206","Loomis St & Jackson Blvd",41.877945,-87.662007,148,182,31,29,97,134,330,231,60
"74","13213","State St & 29th St",41.841707,-87.626938,17,18,4,4,12,14,35,26,8
"75","13215","Rhodes Ave & 32nd St",41.836208,-87.613533,118,101,47,47,62,49,219,111,94
"76","13216","State St & 33rd St",41.834734,-87.625813,310,313,93,93,191,194,623,385,186
"77","13217","Calumet Ave & 33rd St",41.8349,-87.61793,166,165,54,52,101,103,331,204,106
"78","13221","Wood St & Milwaukee Ave",41.907655,-87.672552,337,368,142,147,164,193,705,357,289
"79","13224","Ashland Ave & Blackhawk St",41.907066,-87.667252,296,305,76,72,194,205,601,399,148
"80","13229","Southport Ave & Belmont Ave",41.9394777504051,-87.6637476682663,237,213,63,61,148,116,450,264,124
"81","13235","Southport Ave & Waveland Ave",41.9481313333333,-87.6638806666667,455,474,136,130,262,301,929,563,266
"82","13241","Western Ave & Division St",41.9028796666667,-87.687364,160,178,100,99,50,69,338,119,199
"83","13242","Milwaukee Ave & Rockwell St",41.9201955620057,-87.6926591992378,96,112,58,57,36,50,208,86,115
"84","13243","Milwaukee Ave & Wabansia Ave",41.912616,-87.681391,337,375,146,138,158,195,712,353,284
"85","13245","Claremont Ave & Hirsch St",41.9077043333333,-87.685846,53,49,20,18,32,27,102,59,38
"86","13247","Ashland Ave & Chicago Ave",41.895959,-87.6677955,226,238,79,77,130,142,464,272,156
"87","13248","Ashland Ave & Augusta Blvd",41.899643,-87.6677,185,160,33,29,136,116,345,252,62
"88","13249","Ashland Ave & Belle Plaine Ave",41.956057,-87.668835,77,73,17,14,54,53,150,107,31
"89","13253","Lincoln Ave & Waveland Ave",41.948789,-87.6752775,171,185,67,73,86,95,356,181,140
"90","13256","California Ave & Division St",41.903029,-87.697474,125,122,51,51,65,60,247,125,102
"91","13257","Campbell Ave & North Ave",41.9105676666667,-87.6895445,156,146,64,63,81,74,302,155,127
"92","13258","California Ave & North Ave",41.91044,-87.6972,135,118,57,53,65,57,253,122,110
"93","13259","California Ave & Francis Pl (Temp)",41.918491153687,-87.6974228024483,132,96,55,42,69,46,228,115,97
"94","13263","Columbus Dr & Randolph St",41.884728,-87.619521,940,660,188,165,634,413,1600,1047,353
"95","13265","Kingsbury St & Erie St",41.8938080562436,-87.6416972279549,654,615,192,184,393,372,1269,765,376
"96","13266","Stave St & Armitage Ave",41.917741,-87.691392,153,140,80,79,55,44,293,99,159
"97","13268","Damen Ave & Wellington Ave",41.9358833333333,-87.6784505,134,132,59,58,64,62,266,126,117
"98","13269","Ashland Ave & Wellington Ave",41.936083,-87.669807,199,199,64,65,117,118,398,235,129
"99","13271","Damen Ave & Clybourn Ave",41.9318371666667,-87.6777966666667,173,161,58,53,98,90,334,188,111
"100","13276","Stockton Dr & Wrightwood Ave",41.9313295,-87.6387661666667,383,396,130,129,216,230,779,446,259
"101","13277","Broadway & Belmont Ave",41.940106,-87.645451,434,447,93,94,305,311,881,616,187
"102","13278","Broadway & Cornelia Ave",41.945529,-87.646439,718,672,199,190,443,405,1390,848,389
"103","13285","Wood St & Taylor St (Temp)",41.869265,-87.67373,328,312,53,59,238,213,640,451,112
"104","13288","Damen Ave & Charleston St",41.920082,-87.677855,162,147,47,44,69,65,309,134,91
"105","13289","Eckhart Park",41.8963866666667,-87.6610123333333,228,223,61,58,144,149,451,293,119
"106","13290","Noble St & Milwaukee Ave",41.900671,-87.662588,296,294,103,103,170,166,590,336,206
"107","13292","Kedzie Ave & Palmer Ct",41.921525,-87.707322,113,92,48,36,58,44,205,102,84
"108","13294","Greenview Ave & Diversey Pkwy",41.9325896342979,-87.6659363508224,161,147,60,49,86,79,308,165,109
"109","13296","Ashland Ave & Wrightwood Ave",41.92883,-87.668507,119,118,40,39,67,73,237,140,79
"110","13300","Lake Shore Dr & Monroe St",41.880958,-87.616743,670,653,105,96,353,360,1323,713,201
"111","13303","Clark St & Chicago Ave",41.89675,-87.63089,427,319,116,96,270,190,746,460,212
"112","13304","Racine Ave & 15th St",41.861267,-87.656625,49,36,11,11,36,23,85,59,22
"113","13307","Laflin St & Cullerton St",41.8549145757657,-87.6635599136353,69,73,15,13,46,46,142,92,28
"114","13319","Ashland Ave & Grace St",41.950687,-87.6687,132,125,26,24,92,87,257,179,50
"115","13323","Broadway & Sheridan Rd",41.952833,-87.649993,403,419,156,143,205,237,822,442,299
"116","13325","Broadway & Waveland Ave",41.949074,-87.648636,779,790,193,190,508,524,1569,1032,383
"117","13326","Canal St & Harrison St",41.8743045,-87.6396603333333,76,79,19,18,50,51,155,101,37
"118","13331","May St & Cullerton St",41.8552125,-87.654172,73,56,19,16,45,35,129,80,35
"119","13332","Loomis St & Lexington St",41.872187,-87.661501,456,442,107,104,281,284,898,565,211
"120","13338","Mies van der Rohe Way & Chicago Ave",41.89691,-87.621743,598,632,201,198,348,375,1230,723,399
"121","13341","Canal St & Madison St",41.882171,-87.6400111666667,254,248,78,83,150,135,502,285,161
"122","13345","Calumet Ave & 35th St",41.831379,-87.618034,43,44,7,7,31,32,87,63,14
"123","13353","Ada St & Washington Blvd",41.88283,-87.661206,238,249,61,64,161,166,487,327,125
"124","13354","Ashland Ave & 13th St",41.865234,-87.666507,142,197,53,55,81,124,339,205,108
"125","13379","Clarendon Ave & Gordon Ter",41.9584686666667,-87.6495836666667,461,419,121,116,300,266,880,566,237
"126","13389","Clarendon Ave & Junior Ter",41.961004,-87.649603,418,385,109,107,276,254,803,530,216
"127","13398","Blackstone Ave & Hyde Park Blvd",41.8025065,-87.590344,199,170,31,31,137,117,369,254,62
"128","13409","Sangamon St & Washington Blvd",41.883165,-87.6511,200,209,72,71,114,125,409,239,143
"129","13420","MLK Jr Dr & Pershing Rd",41.8246,-87.61678,38,42,13,12,22,26,80,48,25
"130","13427","Cityfront Plaza Dr & Pioneer Ct",41.890573,-87.622072,350,319,98,99,195,166,669,361,197
"131","13430","LaSalle St & Illinois St",41.890762,-87.631697,407,442,118,120,251,273,849,524,238
"132","13431","Adler Planetarium",41.866095,-87.607267,265,219,44,37,144,133,484,277,81
"133","13432","Wood St & Hubbard St",41.889899,-87.671473,88,73,27,26,52,39,161,91,53
"134","13434","Ashland Ave & Grand Ave",41.891072,-87.666611,124,116,38,38,73,70,240,143,76
