"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.9,-87.63,53744,58194,53744,57431,0,0,111938,0,111175
"2","13001","Michigan Ave & Washington St",41.8839840647265,-87.6246839761734,2875,2844,604,587,1730,1691,5719,3421,1191
"3","13006","LaSalle St & Washington St",41.8826725,-87.6323833333333,963,963,319,309,575,605,1926,1180,628
"4","13008","Millennium Park",41.8810317,-87.62408432,4921,4992,824,820,2812,2841,9913,5653,1644
"5","13011","Canal St & Adams St",41.879255,-87.639904,1467,1305,482,416,881,799,2772,1680,898
"6","13016","St. Clair St & Erie St",41.894345,-87.622798,2469,2544,701,697,1547,1549,5013,3096,1398
"7","13017","Franklin St & Chicago Ave",41.8967469730938,-87.6356676220894,1477,1358,409,382,983,919,2835,1902,791
"8","13021","Clinton St & Lake St",41.885637,-87.641823,1567,1555,496,492,1005,989,3122,1994,988
"9","13022","Streeter Dr & Grand Ave",41.892278,-87.612043,10217,10711,1701,1710,5946,5960,20928,11906,3411
"10","13028","900 W Harrison St",41.874754,-87.649807,586,602,121,123,429,454,1188,883,244
"11","13029","Field Museum",41.865312,-87.617867,1066,759,300,175,507,407,1825,914,475
"12","13033","Milwaukee Ave & Grand Ave",41.891578,-87.648384,1857,1858,637,630,1124,1132,3715,2256,1267
"13","13034","Michigan Ave & Pearson St",41.8967286666667,-87.6234211666667,1556,1547,311,308,990,993,3103,1983,619
"14","13036","Michigan Ave & Madison St",41.882134,-87.625125,1330,1318,287,271,814,825,2648,1639,558
"15","13037","Clinton St & Tilden St",41.875885,-87.640795,293,240,35,28,244,191,533,435,63
"16","13042","Michigan Ave & Oak St",41.90096039,-87.62377664,4808,4868,1049,1036,2927,2963,9676,5890,2085
"17","13045","Dearborn St & Erie St",41.893992,-87.629318,3242,3268,999,984,2005,2012,6510,4017,1983
"18","13050","State St & Kinzie St",41.889187,-87.627754,2205,2236,601,600,1336,1368,4441,2704,1201
"19","13053","Green St & Randolph St",41.883668,-87.64867,1787,1861,547,546,1136,1221,3648,2357,1093
"20","13056","Canal St & Monroe St",41.88169,-87.63953,567,562,167,152,364,352,1129,716,319
"21","13058","Dayton St & North Ave",41.9105780349,-87.6494219288,1191,1196,348,347,786,783,2387,1569,695
"22","13059","Bissell St & Armitage Ave",41.91844,-87.65222,2103,2123,490,489,1525,1538,4226,3063,979
"23","13061","Ashland Ave & Division St",41.90345,-87.667747,2359,2346,753,749,1451,1460,4705,2911,1502
"24","13063","Sheridan Rd & Irving Park Rd",41.9541768333333,-87.6544335,1409,1371,337,334,1044,987,2780,2031,671
"25","13068","Western Ave & Winnebago Ave",41.91552,-87.687022,989,993,319,319,592,609,1982,1201,638
"26","13071","Southport Ave & Roscoe St",41.9436743333333,-87.6639111666667,2013,2038,506,506,1384,1406,4051,2790,1012
