"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"58","13156","Aberdeen St & Monroe St",41.8804978333333,-87.6555045,1246,1206,408,395,780,783,2452,1563,803
"59","13157","Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,1447,1415,481,460,933,938,2862,1871,941
"60","13158","Peoria St & Jackson Blvd",41.8776191666667,-87.649403,1810,1811,596,583,1171,1183,3621,2354,1179
"61","13160","May St & Taylor St",41.8694821,-87.6554864,1316,1274,353,342,930,905,2590,1835,695
"62","13162","Halsted St & 21st St",41.8537798107274,-87.6466029882431,246,228,88,79,147,138,474,285,167
"63","13163","Morgan St & 18th St",41.858086,-87.651073,539,545,222,223,301,302,1084,603,445
"64","13164","Racine Ave & 18th St",41.858166,-87.656495,860,862,343,336,475,482,1722,957,679
"65","13165","Racine Ave & 13th St",41.8649823333333,-87.6570558333333,136,163,54,62,68,85,299,153,116
"66","13179","Clark St & Lincoln Ave",41.915689,-87.6346,3194,3191,965,966,2053,2087,6385,4140,1931
"67","13191","Sedgwick St & Webster Ave",41.922167,-87.638888,1853,1843,676,679,1147,1123,3696,2270,1355
"68","13192","Halsted St & Dickens Ave",41.9198865,-87.6487905,1898,1950,668,670,1153,1217,3848,2370,1338
"69","13193","Larrabee St & Webster Ave",41.921822,-87.64414,2669,2651,855,837,1717,1723,5320,3440,1692
"70","13194","Ogden Ave & Race Ave",41.891795,-87.658751,1182,1244,504,503,653,717,2426,1370,1007
"71","13196","Carpenter St & Huron St",41.8945495,-87.6534938333333,1276,1231,571,545,685,668,2507,1353,1116
"72","13197","Elizabeth (May) St & Fulton St",41.886616,-87.65804,644,720,297,293,336,415,1364,751,590
"73","13206","Loomis St & Jackson Blvd",41.877945,-87.662007,828,761,237,207,565,529,1589,1094,444
"74","13213","State St & 29th St",41.841707,-87.626938,108,123,33,36,65,73,231,138,69
"75","13215","Rhodes Ave & 32nd St",41.836208,-87.613533,539,525,165,153,362,364,1064,726,318
"76","13216","State St & 33rd St",41.834734,-87.625813,1756,1765,358,348,1372,1383,3521,2755,706
"77","13217","Calumet Ave & 33rd St",41.8349,-87.61793,810,794,145,142,659,644,1604,1303,287
"78","13221","Wood St & Milwaukee Ave",41.9075865,-87.6725283333333,1809,1914,814,829,949,1031,3723,1980,1643
"79","13224","Ashland Ave & Blackhawk St",41.9070473333333,-87.6672223333333,1206,1236,495,492,682,717,2442,1399,987
"80","13229","Southport Ave & Belmont Ave",41.9394777504051,-87.6637476682663,1243,1194,430,415,785,742,2437,1527,845
"81","13235","Southport Ave & Waveland Ave",41.94815,-87.66394,2029,2021,733,721,1240,1264,4050,2504,1454
"82","13241","Western Ave & Division St",41.9028873333333,-87.6873278333333,724,614,385,321,313,278,1338,591,706
"83","13242","Milwaukee Ave & Rockwell St",41.9201955620057,-87.6926591992378,476,484,184,184,277,280,960,557,368
