,station_id,station_name,lat,long,start_n,end_n,e_start_n,e_end_n,c_start_n,c_end_n,total,classic,electric
107,13292,Kedzie Ave & Palmer Ct,41.921525,-87.707322,219,199,121,123,88,67,418,155,244
108,13294,Greenview Ave & Diversey Pkwy,41.93258963,-87.66593635,310,281,127,122,178,155,591,333,249
109,13296,Ashland Ave & Wrightwood Ave,41.928824,-87.6686005,306,298,109,106,195,189,604,384,215
110,13300,DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,1869,1836,462,437,1043,1085,3705,2128,899
111,13303,Clark St & Chicago Ave,41.89676833,-87.6308695,587,559,242,237,329,306,1146,635,479
112,13304,Racine Ave & 15th St,41.861267,-87.656625,147,128,71,61,74,60,275,134,132
113,13307,Laflin St & Cullerton St,41.8547885,-87.6637005,156,159,71,71,80,86,315,166,142
114,13319,Ashland Ave & Grace St,41.950687,-87.6687,342,358,130,129,203,211,700,414,259
115,13323,Broadway & Sheridan Rd,41.952833,-87.649993,633,598,244,223,377,369,1231,746,467
116,13325,Broadway & Waveland Ave,41.94909217,-87.64857517,1027,959,396,374,618,574,1986,1192,770
117,13326,Canal St & Harrison St,41.874255,-87.639573,174,156,60,59,110,92,330,202,119
118,13331,May St & Cullerton St,41.855136,-87.654127,135,137,55,54,78,81,272,159,109
119,13332,Loomis St & Lexington St,41.872187,-87.661501,1031,984,270,263,749,701,2015,1450,533
120,13338,Mies van der Rohe Way & Chicago Ave,41.89724517,-87.6211655,844,873,329,325,489,521,1717,1010,654
121,13341,Canal St & Madison St,41.882091,-87.639833,1029,1078,426,434,581,622,2107,1203,860
122,13345,Calumet Ave & 35th St,41.831379,-87.618034,101,93,24,21,77,72,194,149,45
123,13353,Ada St & Washington Blvd,41.88283,-87.661206,433,453,192,194,236,249,886,485,386
124,13354,Ashland Ave & 13th St,41.865234,-87.666507,152,162,51,48,101,110,314,211,99
125,13379,Clarendon Ave & Gordon Ter,41.95786652,-87.64950514,641,587,243,229,384,341,1228,725,472
126,13389,Clarendon Ave & Junior Ter,41.961004,-87.649603,437,437,200,205,234,217,874,451,405
127,13398,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,197,188,53,47,139,136,385,275,100
128,13409,Sangamon St & Washington Blvd,41.883165,-87.6511,542,577,210,207,318,361,1119,679,417
129,13420,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,77,64,36,26,40,36,141,76,62
130,13427,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,772,676,294,260,431,373,1448,804,554
131,13430,LaSalle St & Illinois St,41.89096783,-87.63185,1145,1175,442,436,661,692,2320,1353,878
132,13431,Adler Planetarium,41.866095,-87.607267,672,649,187,173,360,391,1321,751,360
133,13432,Wood St & Hubbard St,41.889899,-87.671473,251,248,105,104,143,141,499,284,209
134,13434,Ashland Ave & Grand Ave,41.891091,-87.666743,387,382,164,168,217,208,769,425,332
135,15442,Ashland Ave & Archer Ave,41.83907414,-87.66551471,59,53,30,27,25,22,112,47,57
136,15443,Shields Ave & 28th Pl,41.842733,-87.635491,104,108,26,24,77,81,212,158,50
137,15445,Wentworth Ave & 33rd St,41.83452989,-87.63182298,156,142,29,20,122,120,298,242,49
138,15446,Racine Ave & 35th St,41.83068856,-87.65621066,85,79,40,35,44,42,164,86,75
139,15449,State St & Pershing Rd,41.82304117,-87.6265965,21,22,16,14,5,8,43,13,30
140,15470,Calumet Ave & 51st St,41.80228883,-87.6180995,50,46,23,22,24,24,96,48,45
141,15491,63rd St Beach,41.78091096,-87.57632375,48,51,9,8,27,31,99,58,17
142,15529,Mies van der Rohe Way & Chestnut St,41.898902,-87.622706,791,813,257,263,476,513,1604,989,520
143,15530,Rush St & Superior St,41.89533617,-87.62518017,888,935,354,353,510,554,1823,1064,707
144,15534,Field Blvd & South Water St,41.88620683,-87.61764217,588,597,278,277,280,281,1185,561,555
145,15535,Desplaines St & Randolph St,41.88461619,-87.64457058,598,601,225,227,355,366,1199,721,452
146,15539,Desplaines St & Jackson Blvd,41.87814067,-87.64424117,775,730,339,329,431,400,1505,831,668
147,15541,Buckingham Fountain,41.87653519,-87.62047291,336,291,114,85,165,151,627,316,199
148,15542,Clinton St & Polk St,41.87146652,-87.64094913,50,46,21,21,26,25,96,51,42
149,15544,Shedd Aquarium,41.86722596,-87.61535539,1130,1066,288,269,567,570,2196,1137,557
150,15545,Burnham Harbor,41.8562845,-87.61325633,487,489,65,61,371,385,976,756,126
151,15546,Calumet Ave & 21st St,41.85418425,-87.61915374,193,205,84,84,96,109,398,205,168
152,15550,Canal St & Taylor St,41.8701325,-87.63948133,345,356,155,156,166,191,701,357,311
153,15571,Broadway & Granville Ave,41.99470282,-87.66038907,318,318,90,87,208,218,636,426,177
154,15575,Broadway & Thorndale Ave,41.98974251,-87.66014062,295,311,119,115,162,182,606,344,234
155,15576,Lakefront Trail & Bryn Mawr Ave,41.98404412,-87.65228122,568,562,157,157,380,371,1130,751,314
156,15578,Broadway & Ridge Ave,41.98404461,-87.66027383,337,314,138,132,193,176,651,369,270
157,15585,Budlong Woods Library,41.98366471,-87.69642256,56,56,22,21,34,35,112,69,43
158,15597,Halsted St & 69th St,41.76902667,-87.644644,8,2,5,0,3,2,10,5,0
159,15599,Calumet Ave & 71st St,41.76550801,-87.61691793,2,2,0,0,2,1,4,3,0
160,15615,Christiana Ave & Lawrence Ave,41.96835449,-87.71183067,95,97,51,53,41,38,192,79,104
161,15621,Albany Ave & Montrose Ave,41.961041,-87.705866,83,100,42,43,39,48,183,87,85
162,15622,California Ave & Montrose Ave,41.961068,-87.695439,166,159,82,83,74,67,325,141,165
163,15623,Campbell Ave & Montrose Ave,41.96152593,-87.69116504,220,209,121,116,98,92,429,190,237
164,15624,Avondale Ave & Irving Park Rd,41.95349783,-87.73196183,89,79,62,54,22,25,168,47,116
165,15628,California Ave & Byron St,41.95216219,-87.69805111,131,125,77,69,48,51,256,99,146
166,15631,Troy St & Elston Ave,41.94523233,-87.7065775,102,120,57,56,41,63,222,104,113
167,15632,Talman Ave & Addison St,41.94663583,-87.69461476,227,202,134,126,90,74,429,164,260
168,15634,Western Ave & Roscoe St,41.943034,-87.687288,139,130,51,47,85,80,269,165,98
169,15640,Avers Ave & Belmont Ave,41.93942511,-87.72355735,111,120,80,89,27,24,231,51,169
170,15642,California Ave & Fletcher St,41.93842879,-87.69800776,136,164,70,72,63,82,300,145,142
171,15643,Kosciuszko Park,41.93058537,-87.72377736,105,114,56,57,46,55,219,101,113
172,15644,Central Park Ave & Elbridge Ave,41.93539143,-87.71684718,129,126,91,91,35,33,255,68,182
173,15645,Richmond St & Diversey Ave,41.9320055,-87.70121467,103,111,56,59,46,49,214,95,115
174,15646,California Ave & Altgeld St,41.926703,-87.6977175,175,165,96,94,75,65,340,140,190
175,15648,Campbell Ave & Fullerton Ave,41.92464717,-87.68931833,155,140,76,76,78,62,295,140,152
176,15650,Spaulding Ave & Armitage Ave,41.91710803,-87.71022096,256,250,148,145,97,95,506,192,293
177,15651,Humboldt Blvd & Armitage Ave,41.91751339,-87.70180896,249,248,144,138,100,104,497,204,282
178,15652,Central Park Ave & North Ave,41.90965688,-87.71663195,74,85,53,54,16,27,159,43,107
179,15653,Troy St & North Ave,41.9097693,-87.70528049,129,133,57,58,70,60,262,130,115
180,15654,Spaulding Ave & Division St,41.90273178,-87.70922852,158,155,107,102,41,47,313,88,209
181,15655,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,257,239,136,130,106,99,496,205,266
182,15664,Artesian Ave & Hubbard St,41.88953267,-87.6880955,280,242,200,173,77,67,522,144,373
