"","station_id","station_name","lat","long","total","electric","classic"
"1","5","State St & Harrison St","41.874053","-87.627716","1879","0","1879"
"2","13","Wilton Ave & Diversey Pkwy","41.932418","-87.652705","1511","0","1511"
"3","14","Morgan St & 18th St","41.858086","-87.651073","798","0","798"
"4","15","Racine Ave & 18th St","41.858166","-87.656495","672","0","672"
"5","16","Wood St & North Ave","41.909854652","-87.66993016","403","0","403"
"6","17","Wood St & Division St","41.903119","-87.673935","1160","0","1160"
"7","19","Loomis St & Taylor St","41.868968","-87.659141","547","0","547"
"8","20","Sheffield Ave & Kingsbury St","41.910522","-87.653106","694","0","694"
"9","21","Aberdeen St & Jackson Blvd","41.87772613","-87.65478743","1107","0","1107"
"10","22","May St & Taylor St","41.8694821","-87.6554864","897","0","897"
"11","23","Orleans St & Elm St","41.902924","-87.637715","980","0","980"
"12","24","Fairbanks Ct & Grand Ave","41.891847372","-87.620580196","2948","0","2948"
"13","25","Michigan Ave & Pearson St","41.89766","-87.62351","4600","0","4600"
"14","26","McClurg Ct & Illinois St","41.890847041","-87.618616819","5982","0","5982"
"15","27","Larrabee St & North Ave","41.91021","-87.6435","953","0","953"
"16","28","Larrabee St & Menomonee St","41.91468","-87.64332","1107","0","1107"
"17","29","Noble St & Milwaukee Ave","41.90068","-87.6626","781","0","781"
"18","30","Ashland Ave & Augusta Blvd","41.899643","-87.6677","805","0","805"
"19","31","Franklin St & Chicago Ave","41.896746973","-87.635667622","1405","0","1405"
"20","32","Racine Ave & Congress Pkwy","41.87464","-87.65703","524","0","524"
"21","33","State St & Van Buren St","41.877181","-87.627844","1954","0","1954"
"22","34","Cannon Dr & Fullerton Ave","41.926755988","-87.634428785","3940","0","3940"
"23","36","Franklin St & Jackson Blvd","41.877707956","-87.635321141","2665","0","2665"
"24","37","Dearborn St & Adams St","41.879356359","-87.629791036","2436","0","2436"
"25","42","Wabash Ave & Cermak Rd","41.852619","-87.626488","816","0","816"
"26","43","Michigan Ave & Washington St","41.883984065","-87.624683976","2641","0","2641"
"27","44","State St & Randolph St","41.884621073","-87.627834231","2218","0","2218"
"28","45","Michigan Ave & Congress Pkwy","41.876243","-87.624426","2008","0","2008"
"29","46","Wells St & Walton St","41.89993001","-87.63443007","1167","0","1167"
"30","47","State St & Kinzie St","41.889187","-87.627754","3598","0","3598"
"31","48","Larrabee St & Kingsbury St","41.897764","-87.642884","1311","0","1311"
"32","49","Dearborn St & Monroe St","41.881319815","-87.629520919","1540","0","1540"
"33","50","Clark St & Congress Pkwy","41.875932666","-87.630584536","1283","0","1283"
"34","51","Clark St & Randolph St","41.884576228","-87.63188991","2132","0","2132"
"35","52","Michigan Ave & Lake St","41.886024","-87.624117","4050","0","4050"
"36","53","Wells St & Erie St","41.894722","-87.634362","2267","0","2267"
"37","54","Ogden Ave & Chicago Ave","41.896362458","-87.654061273","873","0","873"
"38","55","Halsted St & James M Rochford St","41.867324","-87.648625","751","0","751"
"39","56","Desplaines St & Kinzie St","41.888716036","-87.644447853","1634","0","1634"
"40","57","Clinton St & Roosevelt Rd","41.867117783","-87.641087959","878","0","878"
"41","58","Ashland Ave & Armitage Ave","41.916433429","-87.666746378","652","0","652"
"42","59","Wabash Ave & Roosevelt Rd","41.867227","-87.625961","3224","0","3224"
"43","60","Dayton St & North Ave","41.910578035","-87.649421929","1243","0","1243"
"44","61","Wood St & Milwaukee Ave","41.907655","-87.672552","829","0","829"
"45","62","McCormick Place","41.851375173","-87.618834649","2033","0","2033"
"46","66","Clinton St & Lake St","41.885637","-87.641823","1595","0","1595"
"47","67","Sheffield Ave & Fullerton Ave","41.925601882","-87.653708042","1975","0","1975"
"48","68","Clinton St & Tilden St","41.875885","-87.640795","721","0","721"
"49","69","Damen Ave & Pierce Ave","41.909396007","-87.677691929","1816","0","1816"
"50","71","Morgan St & Lake St","41.885779252","-87.65102461","1094","0","1094"
"51","72","State St & 16th St","41.860384","-87.625813","1342","0","1342"
"52","73","Jefferson St & Monroe St","41.880329634","-87.642745972","1107","0","1107"
"53","74","Kingsbury St & Erie St","41.893808056","-87.641697228","1790","0","1790"
"54","75","Canal St & Jackson Blvd","41.877245","-87.639366","2715","0","2715"
"55","76","Lake Shore Dr & Monroe St","41.880958","-87.616743","6602","0","6602"
"56","77","Clinton St & Madison St","41.882242","-87.641066","2782","0","2782"
"57","80","Aberdeen St & Madison St","41.880419","-87.655519","1564","0","1564"
"58","81","Daley Center Plaza","41.884241","-87.629634","2375","0","2375"
"59","84","Green St & Milwaukee Ave","41.891578","-87.648384","474","0","474"
"60","85","Michigan Ave & Oak St","41.90096039","-87.62377664","5920","0","5920"
"61","86","Eckhart Park","41.89637337","-87.66098386","657","0","657"
"62","87","Racine Ave & Fullerton Ave","41.92556258","-87.65840426","831","0","831"
"63","88","May St & Randolph St","41.884069","-87.656853","918","0","918"
"64","90","Millennium Park","41.8810317","-87.62408432","7586","0","7586"
"65","91","Clinton St & Washington Blvd","41.88338","-87.64117","2874","0","2874"
"66","92","Carpenter St & Huron St","41.894556","-87.653449","469","0","469"
"67","93","Sheffield Ave & Willow St","41.913688","-87.652855","795","0","795"
"68","94","Lincoln Ave & Armitage Ave","41.918306","-87.636282","3010","0","3010"
"69","97","Museum Campus","41.865312","-87.617867","5313","0","5313"
"70","98","LaSalle St & Washington St","41.882664","-87.63253","636","0","636"
"71","99","Lake Shore Dr & Ohio St","41.89259212","-87.617289126","2404","0","2404"
"72","100","Orleans St & Merchandise Mart Plaza","41.888243","-87.63639","697","0","697"
"73","108","Halsted St & Polk St","41.87184","-87.64664","322","0","322"
"74","112","Green St & Randolph St","41.883181306","-87.648724616","103","0","103"
"75","115","Sheffield Ave & Wellington Ave","41.936253483","-87.652662098","568","0","568"
"76","116","Western Ave & Winnebago Ave","41.91552","-87.687022","48","0","48"
"77","119","Ashland Ave & Lake St","41.88592","-87.66717","36","0","36"
"78","121","Blackstone Ave & Hyde Park Blvd","41.802562","-87.590368","134","0","134"
"79","122","Congress Pkwy & Ogden Ave","41.87501","-87.67328","26","0","26"
"80","123","California Ave & Milwaukee Ave","41.922695","-87.697153","187","0","187"
"81","124","Damen Ave & Cullerton St","41.854966519","-87.675699592","0","0","0"
"82","126","Clark St & North Ave","41.911974","-87.631942","220","0","220"
"83","127","Lincoln Ave & Fullerton Ave","41.924161029","-87.646380365","87","0","87"
"84","129","Blue Island Ave & 18th St","41.857556","-87.661535","99","0","99"
"85","130","Damen Ave & Division St","41.903266","-87.678435","146","0","146"
"86","134","Peoria St & Jackson Blvd","41.877641596","-87.649617791","247","0","247"
"87","135","Halsted St & 21st St","41.853779811","-87.646602988","32","0","32"
"88","137","Morgan Ave & 14th Pl","41.862378","-87.651062","6","0","6"
"89","141","Clark St & Lincoln Ave","41.915689","-87.6346","52","0","52"
"90","146","Loomis St & Jackson Blvd","41.877945","-87.662007","20","0","20"
"91","147","Indiana Ave & 26th St","41.845687","-87.622481","68","0","68"
"92","149","Calumet Ave & 33rd St","41.8349","-87.61793","102","0","102"
"93","150","Fort Dearborn Dr & 31st St","41.838556","-87.608218","291","0","291"
"94","152","Lincoln Ave & Diversey Pkwy","41.932225","-87.658617","14","0","14"
"95","153","Southport Ave & Wellington Ave","41.935733","-87.663576","162","0","162"
"96","154","Southport Ave & Belmont Ave","41.93947775","-87.663747668","56","0","56"
"97","157","Lake Shore Dr & Wellington Ave","41.936688449","-87.636829019","0","0","0"
"98","158","Milwaukee Ave & Wabansia Ave","41.912616","-87.681391","86","0","86"
"99","159","Claremont Ave & Hirsch St","41.907781","-87.685854","27","0","27"
"100","160","Campbell Ave & North Ave","41.910535","-87.689556","45","0","45"
"101","162","Damen Ave & Wellington Ave","41.93588","-87.67842","107","0","107"
"102","163","Paulina St & Diversey Pkwy","41.931931","-87.677856","8","0","8"
"103","164","Franklin St & Lake St","41.885837","-87.6355","188","0","188"
"104","165","Clark St & Waveland Ave","41.95078","-87.659172","78","0","78"
"105","166","Ashland Ave & Wrightwood Ave","41.92883","-87.668507","137","0","137"
"106","167","Damen Ave & Coulter St","41.8492","-87.67564","23","0","23"
"107","169","Canal St & Harrison St","41.874255","-87.639573","117","0","117"
"108","170","Clinton St & 18th St","41.85795","-87.640826","37","0","37"
"109","171","May St & Cullerton St","41.855136","-87.654127","27","0","27"
"110","174","Canal St & Madison St","41.882091","-87.639833","137","0","137"
"111","178","State St & 19th St","41.856594","-87.627542","189","0","189"
"112","179","Martin Luther King Dr & Oakwood Blvd","41.8246","-87.61678","247","0","247"
"113","181","LaSalle St & Illinois St","41.890762","-87.631697","751","0","751"
"114","183","Damen Ave & Augusta Blvd","41.901315","-87.677409","173","0","173"
"115","185","Stave St & Armitage Ave","41.917741","-87.691392","37","0","37"
"116","186","Ogden Ave & Race Ave","41.891795","-87.658751","65","0","65"
"117","188","Greenview Ave & Fullerton Ave","41.92533","-87.6658","48","0","48"
"118","192","Canal St & Adams St","41.879255","-87.639904","32","0","32"
"119","195","Columbus Dr & Randolph St","41.884728","-87.619521","14","0","14"
"120","212","Wells St & Ohio St","41.889906","-87.634266","0","0","0"
"121","232","Pine Grove Ave & Addison St","41.949472741","-87.646452785","256","0","256"
"122","244","Ravenswood Ave & Irving Park Rd","41.95469","-87.67393","42","0","42"
"123","249","Montrose Harbor","41.963982","-87.638181","207","0","207"
"124","250","Ashland Ave & Wellington Ave","41.936083","-87.669807","591","0","591"
"125","251","Clarendon Ave & Leland Ave","41.967968","-87.650001","134","0","134"
"126","252","Greenwood Ave & 47th St","41.809835","-87.599383","270","0","270"
"127","255","Indiana Ave & Roosevelt Rd","41.867888","-87.623041","517","0","517"
"128","262","Halsted St & 37th St","41.827059","-87.64572","116","0","116"
"129","273","Michigan Ave & 18th St","41.857813","-87.62455","85","0","85"
"130","279","Halsted St & 35th St","41.830661","-87.647172","513","0","513"
"131","285","Wood St & Grand Ave","41.889899","-87.671473","37","0","37"
"132","300","Broadway & Barry Ave","41.937582316","-87.644097805","48","0","48"
"133","305","Western Ave & Division St","41.902893","-87.687275","87","0","87"
"134","311","Lincoln Ave & Eastwood Ave","41.968885","-87.684001","378","0","378"
"135","312","Clarendon Ave & Gordon Ter","41.957866524","-87.649505138","50","0","50"
"136","313","Lakeview Ave & Fullerton Pkwy","41.925858","-87.638973","56","0","56"
"137","314","Ravenswood Ave & Berteau Ave","41.957921","-87.673567","0","0","0"
"138","319","Greenview Ave & Diversey Pkwy","41.932589634","-87.665936351","167","0","167"
"139","320","Loomis St & Lexington St","41.872187","-87.661501","63","0","63"
"140","321","Wabash Ave & 8th St","41.870769","-87.625734","0","0","0"
"141","322","Kimbark Ave & 53rd St","41.799568","-87.594747","190","0","190"
"142","328","Ellis Ave & 58th St","41.788746","-87.601334","563","0","563"
"143","330","Lincoln Ave & Addison St","41.946176","-87.673308","70","0","70"
"144","340","Clark St & Wrightwood Ave","41.929546","-87.643118","234","0","234"
"145","341","Adler Planetarium","41.866095","-87.607267","85","0","85"
"146","347","Ashland Ave & Grace St","41.950687","-87.6687","0","0","0"
"147","348","California Ave & 21st St","41.853804066","-87.695742399","249","0","249"
"148","349","Halsted St & Wrightwood Ave","41.929143","-87.649077","103","0","103"
"149","350","Ashland Ave & Chicago Ave","41.895974323","-87.667725384","914","0","914"
"150","351","Cottage Grove Ave & 51st St","41.803038","-87.606615","145","0","145"
