"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.91,-87.65,26056,28174,26056,27683,0,0,54230,0,53739
"2","13001","Michigan Ave & Washington St",41.8839840647265,-87.6246839761734,1729,1707,267,253,1143,1118,3436,2261,520
"3","13006","LaSalle St & Washington St",41.8824031666667,-87.632351,774,798,195,198,539,554,1572,1093,393
"4","13008","Millennium Park",41.8810317,-87.62408432,2612,2766,307,298,1490,1598,5378,3088,605
"5","13011","Canal St & Adams St",41.879255,-87.639904,825,803,172,169,619,588,1628,1207,341
"6","13016","St. Clair St & Erie St",41.8943451374243,-87.6227983832359,2044,2207,454,450,1465,1540,4251,3005,904
"7","13017","Franklin St & Chicago Ave",41.8967083333333,-87.6359501666667,937,879,194,190,709,657,1816,1366,384
"8","13021","Clinton St & Lake St",41.885637,-87.641823,1054,1048,254,253,778,776,2102,1554,507
"9","13022","Streeter Dr & Grand Ave",41.892278,-87.612043,3363,3284,370,361,2187,2026,6647,4213,731
"10","13028","900 W Harrison St",41.874754,-87.649807,423,441,84,88,315,326,864,641,172
"11","13029","Field Museum",41.865312,-87.617867,589,423,66,51,340,274,1012,614,117
"12","13033","Milwaukee Ave & Grand Ave",41.891578,-87.648384,1196,1202,374,374,751,755,2398,1506,748
"13","13034","Michigan Ave & Pearson St",41.89766,-87.62351,1076,1032,156,147,727,667,2108,1394,303
"14","13036","Michigan Ave & Madison St",41.882153,-87.6253605,806,786,183,177,508,517,1592,1025,360
"15","13037","Clinton St & Tilden St",41.875885,-87.640795,200,192,45,42,152,145,392,297,87
"16","13042","Michigan Ave & Oak St",41.90096039,-87.62377664,2575,2654,395,393,1645,1738,5229,3383,788
"17","13045","Dearborn St & Erie St",41.8942645,-87.6292418333333,2146,2200,599,599,1438,1499,4346,2937,1198
"18","13050","State St & Kinzie St",41.889187,-87.627754,1207,1262,216,214,857,914,2469,1771,430
"19","13053","Green St & Randolph St",41.883668,-87.64867,1223,1252,337,331,823,853,2475,1676,668
"20","13056","Canal St & Monroe St",41.88169,-87.63953,359,301,76,74,264,201,660,465,150
"21","13058","Dayton St & North Ave",41.9105780349,-87.6494219288,731,754,195,195,513,544,1485,1057,390
"22","13059","Bissell St & Armitage Ave",41.91844,-87.65222,1378,1422,339,333,987,1038,2800,2025,672
"23","13061","Ashland Ave & Division St",41.90345,-87.667747,1473,1515,485,473,922,974,2988,1896,958
"24","13063","Sheridan Rd & Irving Park Rd",41.954245,-87.654406,952,944,226,221,698,691,1896,1389,447
"25","13068","Western Ave & Winnebago Ave",41.9155953333333,-87.6870276666667,581,587,171,172,391,397,1168,788,343
"26","13071","Southport Ave & Roscoe St",41.9436848333333,-87.6640801666667,1357,1415,366,372,929,974,2772,1903,738
"27","13073","Ashland Ave & Lake St",41.88592,-87.66717,322,328,115,113,190,202,650,392,228
"28","13074","Broadway & Wilson - Truman College Vaccination Site",41.965221,-87.658139,556,613,172,181,364,404,1169,768,353
"29","13075","Wentworth Ave & Cermak Rd",41.853085,-87.631931,513,630,124,123,304,410,1143,714,247
"30","13080","Hermitage Ave & Polk St",41.871514,-87.669886,10,11,0,0,0,0,21,0,0
"31","13081","Ogden Ave & Congress Pkwy",41.87501,-87.67328,162,133,36,28,117,96,295,213,64
"32","13083","Indiana Ave & 40th St",41.82168,-87.6216,42,34,5,6,28,20,76,48,11
"33","13084","California Ave & Milwaukee Ave",41.922695,-87.697153,668,664,221,221,413,419,1332,832,442
"34","13085","Kedzie Ave & Milwaukee Ave",41.9295003333333,-87.7078086666667,587,672,258,257,287,377,1259,664,515
"35","13089","Damen Ave & Cullerton St",41.8549665187539,-87.6756995916366,193,187,64,62,120,116,380,236,126
"36","13091","Western Ave & 21st St",41.8540918333333,-87.6858696666667,153,160,78,77,68,75,313,143,155
