"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.93,-87.72,75290,79187,75290,78729,0,0,154477,0,154019
"2","13001","Michigan Ave & Washington St",41.8838285,-87.6242566666667,1597,1576,564,552,921,920,3173,1841,1116
"3","13006","LaSalle St & Washington St",41.8825481666667,-87.6323655,787,751,429,406,348,333,1538,681,835
"4","13008","Millennium Park",41.8810317,-87.62408432,1565,1668,604,606,729,755,3233,1484,1210
"5","13011","Canal St & Adams St",41.8794641666667,-87.639918,1443,1543,611,647,799,858,2986,1657,1258
"6","13016","St. Clair St & Erie St",41.894079,-87.6225231666667,1988,2127,845,872,1106,1207,4115,2313,1717
"7","13017","Franklin St & Chicago Ave",41.8967469730938,-87.6356676220894,1131,1015,474,456,649,544,2146,1193,930
"8","13021","Clinton St & Lake St",41.885637,-87.641823,1409,1396,664,665,716,714,2805,1430,1329
"9","13022","Streeter Dr & Grand Ave",41.892278,-87.612043,2165,2350,631,641,1123,1218,4515,2341,1272
"10","13028","900 W Harrison St",41.874754,-87.649807,921,900,319,320,578,553,1821,1131,639
"11","13029","Field Museum",41.8652936666667,-87.618081,355,256,99,76,167,136,611,303,175
"12","13033","Milwaukee Ave & Grand Ave",41.891578,-87.648384,1020,1066,587,589,415,458,2086,873,1176
"13","13034","Michigan Ave & Pearson St",41.8963166666667,-87.6243798333333,720,718,225,225,397,435,1438,832,450
"14","13036","Michigan Ave & Madison St",41.882134,-87.625125,729,802,311,328,373,427,1531,800,639
"15","13037","Clinton St & Tilden St",41.875885,-87.640795,225,242,93,107,127,131,467,258,200
"16","13042","Michigan Ave & Oak St",41.9008643333333,-87.6237941666667,1117,1205,392,396,608,679,2322,1287,788
"17","13045","Dearborn St & Erie St",41.893929,-87.6298965,1972,2111,912,929,1021,1119,4083,2140,1841
"18","13050","State St & Kinzie St",41.8891713333333,-87.6276901666667,1095,1218,537,556,545,632,2313,1177,1093
"19","13053","Green St & Randolph St",41.883668,-87.64867,1060,1169,494,515,541,637,2229,1178,1009
"20","13056","Canal St & Monroe St",41.88169,-87.63953,957,850,393,371,542,460,1807,1002,764
"21","13058","Dayton St & North Ave",41.9105780349,-87.6494219288,717,702,311,305,395,389,1419,784,616
"22","13059","Bissell St & Armitage Ave",41.91844,-87.65222,873,972,377,402,475,553,1845,1028,779
"23","13061","Ashland Ave & Division St",41.90345,-87.667747,1551,1574,853,855,670,699,3125,1369,1708
"24","13063","Sheridan Rd & Irving Park Rd",41.954245,-87.654406,883,835,336,332,533,498,1718,1031,668
"25","13068","Western Ave & Winnebago Ave",41.9155536666667,-87.6870211666667,603,602,355,349,220,239,1205,459,704
"26","13071","Southport Ave & Roscoe St",41.9435446666667,-87.664169,1016,1135,415,427,592,698,2151,1290,842
"27","13073","Ashland Ave & Lake St",41.88592,-87.66717,460,335,233,185,220,140,795,360,418
"28","13074","Broadway & Wilson - Truman College Vaccination Site",41.9651225,-87.6583631666667,633,665,301,304,325,356,1298,681,605
"29","13075","Wentworth Ave & Cermak Rd",41.8530845574128,-87.6319313049316,427,457,147,155,251,269,884,520,302
"30","13080","Hermitage Ave & Polk St",41.8715923333333,-87.6698921666667,451,335,150,94,299,240,786,539,244
"31","13081","Ogden Ave & Congress Pkwy",41.87501,-87.67328,257,202,119,83,126,110,459,236,202
"32","13083","Indiana Ave & 40th St",41.82168,-87.6216,27,30,18,19,9,11,57,20,37
"33","13084","California Ave & Milwaukee Ave",41.922695,-87.697153,701,662,455,441,224,202,1363,426,896
"34","13085","Kedzie Ave & Milwaukee Ave",41.929567,-87.707857,729,762,522,509,193,228,1491,421,1031
"35","13089","Damen Ave & Cullerton St",41.8549665187539,-87.6756995916366,149,160,63,73,83,84,309,167,136
"36","13091","Western Ave & 21st St",41.8540356666667,-87.6858568333333,98,80,68,51,28,22,178,50,119
"37","13096","California Ave & 21st St",41.8538040657915,-87.6957423985004,84,78,44,39,39,39,162,78,83
"38","13099","Halsted St & 18th St (Temp)",41.8583706903062,-87.6463884115219,237,250,134,134,98,115,487,213,268
"39","13102","Calumet Ave & 18th St",41.857611,-87.619407,474,479,229,228,227,234,953,461,457
"40","13108","Broadway & Argyle St",41.9737501666667,-87.6597068333333,545,515,210,205,322,302,1060,624,415
"41","13109","Broadway & Berwyn Ave",41.978353,-87.659753,516,530,260,254,244,268,1046,512,514
"42","13124","Cannon Dr & Fullerton Ave",41.9267559875,-87.6344287848,252,228,67,62,159,149,480,308,129
"43","13128","Clark St & North Ave",41.9120506666667,-87.6318421666667,665,601,229,225,414,353,1266,767,454
"44","13132","Damen Ave & Chicago Ave",41.89562,-87.6771395,805,858,420,426,375,421,1663,796,846
"45","13133","Damen Ave & Cortland St",41.915983,-87.677335,630,673,326,321,295,334,1303,629,647
"46","13134","Damen Ave & Madison St",41.881409,-87.6749245,346,293,170,144,146,134,639,280,314
"47","13135","Blue Island Ave & 18th St",41.8574851666667,-87.6616691666667,372,375,181,182,176,171,747,347,363
"48","13136","Damen Ave & Division St",41.903266,-87.678435,596,651,327,333,264,316,1247,580,660
"49","13137","Broadway & Barry Ave",41.937582,-87.644098,1556,1614,599,597,936,998,3170,1934,1196
"50","13138","Canal St & Jackson Blvd",41.8774146666667,-87.639112,754,738,342,340,400,389,1492,789,682
"51","13139","Throop St & Taylor St",41.868968,-87.659141,558,497,169,150,377,341,1055,718,319
"52","13143","Damen Ave & Melrose Ave",41.9405638333333,-87.678549,162,164,71,68,89,94,326,183,139
"53","13144","Seeley Ave & Roscoe St",41.943312,-87.6797028333333,328,345,181,182,142,159,673,301,363
"54","13146","Clark St & Armitage Ave",41.918294,-87.6363436666667,1493,1435,517,506,939,874,2928,1813,1023
"55","13150","Michigan Ave & 18th St",41.857813,-87.62455,593,628,189,199,392,421,1221,813,388
"56","13154","Sheffield Ave & Kingsbury St",41.9105068333333,-87.6530426666667,909,944,423,429,474,499,1853,973,852
"57","13155","Racine Ave & Randolph St",41.8839946666667,-87.6570448333333,383,399,192,187,184,201,782,385,379
"58","13156","Aberdeen St & Monroe St",41.880419,-87.655519,791,740,273,256,469,460,1531,929,529
"59","13157","Aberdeen St & Jackson Blvd",41.8777243333333,-87.6547915,943,870,359,345,573,509,1813,1082,704
"60","13158","Peoria St & Jackson Blvd",41.8775873333333,-87.6494065,1003,1022,418,421,576,591,2025,1167,839
"61","13160","May St & Taylor St",41.8695243333333,-87.6555398333333,752,795,290,290,458,497,1547,955,580
"62","13162","Halsted St & 21st St",41.8537116666667,-87.6464986666667,94,104,48,49,45,51,198,96,97
"63","13163","Morgan St & 18th St",41.858086,-87.651073,338,301,170,159,164,133,639,297,329
"64","13164","Racine Ave & 18th St",41.858166,-87.656495,469,417,215,208,233,192,886,425,423
"65","13165","Racine Ave & 13th St",41.865054,-87.656959,78,71,43,40,31,30,149,61,83
"66","13179","Clark St & Lincoln Ave",41.9156658333333,-87.634619,1269,1226,525,507,718,680,2495,1398,1032
"67","13191","Sedgwick St & Webster Ave",41.922167,-87.638888,1004,932,421,407,573,509,1936,1082,828
"68","13192","Halsted St & Dickens Ave",41.919936,-87.64883,920,967,433,445,479,509,1887,988,878
"69","13193","Larrabee St & Webster Ave",41.921822,-87.64414,1198,1158,470,452,700,671,2356,1371,922
"70","13194","Ogden Ave & Race Ave",41.891795,-87.658751,629,690,315,329,308,356,1319,664,644
"71","13196","Carpenter St & Huron St",41.894556,-87.653449,751,701,453,431,296,268,1452,564,884
"72","13197","Elizabeth (May) St & Fulton St",41.8865733333333,-87.6584548333333,405,466,233,240,167,217,871,384,473
"73","13206","Loomis St & Jackson Blvd",41.877945,-87.662007,494,457,147,136,346,318,951,664,283
"74","13213","State St & 29th St",41.84172,-87.6269946666667,41,66,16,16,25,50,107,75,32
"75","13215","Rhodes Ave & 32nd St",41.836208,-87.613533,298,217,103,88,194,128,515,322,191
"76","13216","State St & 33rd St",41.834734,-87.625813,991,1100,323,334,663,751,2091,1414,657
"77","13217","Calumet Ave & 33rd St",41.8348208333333,-87.6179195,546,451,134,114,410,334,997,744,248
"78","13221","Wood St & Milwaukee Ave",41.9076948333333,-87.6725621666667,872,924,490,500,371,409,1796,780,990
"79","13224","Ashland Ave & Blackhawk St",41.907066,-87.667252,546,561,281,280,262,277,1107,539,561
"80","13229","Southport Ave & Belmont Ave",41.9394777504051,-87.6637476682663,652,616,309,292,329,313,1268,642,601
"81","13235","Southport Ave & Waveland Ave",41.94815,-87.66394,1121,1142,481,480,622,641,2263,1263,961
"82","13241","Western Ave & Division St",41.9029071666667,-87.6872943333333,373,325,250,232,112,88,698,200,482
"83","13242","Milwaukee Ave & Rockwell St",41.920212,-87.6927186666667,249,219,145,124,101,92,468,193,269
"84","13243","Milwaukee Ave & Wabansia Ave",41.912616,-87.681391,745,737,390,389,343,336,1482,679,779
"85","13245","Claremont Ave & Hirsch St",41.907781,-87.685854,183,181,84,80,98,101,364,199,164
"86","13247","Ashland Ave & Chicago Ave",41.8952118333333,-87.6676331666667,511,479,258,242,250,230,990,480,500
"87","13248","Ashland Ave & Augusta Blvd",41.8996256666667,-87.6684148333333,577,510,267,242,309,262,1087,571,509
"88","13249","Ashland Ave & Belle Plaine Ave",41.9560188333333,-87.6688611666667,197,167,70,62,123,105,364,228,132
"89","13253","Lincoln Ave & Waveland Ave",41.948797,-87.675278,266,269,111,122,149,138,535,287,233
"90","13256","California Ave & Division St",41.9030108333333,-87.6974856666667,223,213,132,129,82,70,436,152,261
"91","13257","Campbell Ave & North Ave",41.9105658333333,-87.6895598333333,352,330,250,238,99,91,682,190,488
"92","13258","California Ave & North Ave",41.91044,-87.6972,270,261,164,151,99,99,531,198,315
"93","13259","California Ave & Francis Pl (Temp)",41.9185858333333,-87.6975583333333,192,170,110,98,76,67,362,143,208
"94","13263","Columbus Dr & Randolph St",41.884624,-87.6195396666667,1244,1219,526,525,683,658,2463,1341,1051
"95","13265","Kingsbury St & Erie St",41.8938425,-87.64182,1380,1253,637,593,738,657,2633,1395,1230
"96","13266","Stave St & Armitage Ave",41.917741,-87.691392,295,288,209,201,83,83,583,166,410
"97","13268","Damen Ave & Wellington Ave",41.93588,-87.67842,224,227,128,125,95,98,451,193,253
"98","13269","Ashland Ave & Wellington Ave",41.936083,-87.669807,364,389,189,193,164,190,753,354,382
"99","13271","Damen Ave & Clybourn Ave",41.931931,-87.677856,266,247,161,156,102,89,513,191,317
"100","13276","Stockton Dr & Wrightwood Ave",41.9313063333333,-87.6387761666667,845,789,364,347,452,415,1634,867,711
"101","13277","Broadway & Belmont Ave",41.940106,-87.645451,839,797,268,258,560,522,1636,1082,526
"102","13278","Broadway & Cornelia Ave",41.9455343333333,-87.6463936666667,1095,989,410,383,664,588,2084,1252,793
"103","13285","Wood St & Taylor St (Temp)",41.8693881666667,-87.673608,648,572,238,244,410,322,1220,732,482
"104","13288","Damen Ave & Charleston St",41.9201221666667,-87.678053,365,382,182,186,168,181,747,349,368
"105","13289","Eckhart Park",41.896399,-87.6610183333333,631,640,294,287,328,345,1271,673,581
"106","13290","Noble St & Milwaukee Ave",41.9006746666667,-87.6626166666667,552,575,244,240,301,325,1127,626,484
"107","13292","Kedzie Ave & Palmer Ct",41.9215158333333,-87.7074018333333,278,262,176,170,97,85,540,182,346
"108","13294","Greenview Ave & Diversey Pkwy",41.9325896342979,-87.6659363508224,413,426,190,187,220,235,839,455,377
"109","13296","Ashland Ave & Wrightwood Ave",41.9288411666667,-87.6685348333333,463,456,182,177,279,273,919,552,359
"110","13300","DuSable Lake Shore Dr & Monroe St",41.880958,-87.616743,1651,1480,416,367,873,839,3131,1712,783
"111","13303","Clark St & Chicago Ave",41.89675,-87.63089,959,818,354,333,588,464,1777,1052,687
"112","13304","Racine Ave & 15th St",41.8612801666667,-87.6566395,213,186,118,104,86,76,399,162,222
"113","13307","Laflin St & Cullerton St",41.8548306666667,-87.6636395,169,127,81,68,83,58,296,141,149
"114","13319","Ashland Ave & Grace St",41.950687,-87.6687,468,410,172,165,290,237,878,527,337
"115","13323","Broadway & Sheridan Rd",41.952833,-87.649993,822,788,324,322,479,449,1610,928,646
"116","13325","Broadway & Waveland Ave",41.9491166666667,-87.6485643333333,1225,1215,449,447,760,754,2440,1514,896
"117","13326","Canal St & Harrison St",41.874255,-87.639573,168,149,57,41,110,104,317,214,98
